Date,Open,High,Low,Close,Volume,MarketCap,Currency
2022-01-24,36.245,37.205,33.111,36.706,7.50800e+10,6.64430e+11, Bitcoin
2022-01-25,36.637,37.435,35.719,36.949,9.13500e+10,6.91210e+11, Bitcoin
2022-01-26,36.949,38.892,36.307,36.776,6.34200e+10,7.09930e+11, Bitcoin
2022-01-27,36.787,37.202,35.52,37.202,7.21700e+10,6.88420e+11, Bitcoin
2022-01-28,37.063,37.93,36.169,37.785,5.77300e+10,7.01590e+11, Bitcoin
2022-01-29,37.742,38.578,37.369,38.132,4.33600e+10,7.16190e+11, Bitcoin
2022-01-30,38.162,38.288,37.412,37.937,3.47900e+10,7.18760e+11, Bitcoin
2022-01-31,37.913,38.669,36.692,38.472,5.55500e+10,7.11350e+11, Bitcoin
2022-02-01,38.465,39.21,38.103,38.762,5.60600e+10,7.30370e+11, Bitcoin
2022-02-02,38.699,38.81,36.705,36.836,5.38900e+10,7.20660e+11, Bitcoin
2022-02-03,36.876,37.101,36.32,37.028,4.84600e+10,6.97160e+11, Bitcoin
2022-02-04,37.283,41.654,37.046,41.654,5.54400e+10,7.32290e+11, Bitcoin
2022-02-05,41.557,41.87,41.041,41.36,7.81100e+10,7.86560e+11, Bitcoin
2022-02-06,41.426,42.488,41.247,42.388,4.73100e+10,7.88070e+11, Bitcoin
2022-02-07,42.396,44.462,41.673,43.906,5.55600e+10,8.16610e+11, Bitcoin
2022-02-08,43.838,45.405,42.712,44.082,7.39900e+10,8.30880e+11, Bitcoin
2022-02-09,44.017,44.749,43.16,44.284,6.80300e+10,8.32280e+11, Bitcoin
2022-02-10,44.376,45.649,43.255,43.524,6.55500e+10,8.39930e+11, Bitcoin
2022-02-11,43.511,43.896,42.067,42.378,8.67700e+10,8.18180e+11, Bitcoin
2022-02-12,42.375,42.963,41.792,42.126,6.58900e+10,8.02250e+11, Bitcoin
2022-02-13,42.182,42.714,41.892,42.236,3.98700e+10,8.02410e+11, Bitcoin
2022-02-14,42.046,42.77,41.661,42.595,4.72300e+10,8.00470e+11, Bitcoin
2022-02-15,42.55,44.701,42.48,44.603,5.88200e+10,8.31730e+11, Bitcoin
2022-02-16,44.523,44.523,43.368,43.998,5.12400e+10,8.33900e+11, Bitcoin
2022-02-17,43.874,44.102,40.214,40.491,5.92600e+10,8.08360e+11, Bitcoin
2022-02-18,40.528,40.924,39.629,39.976,6.78500e+10,7.65920e+11, Bitcoin
2022-02-19,39.991,40.427,39.652,40.113,5.09400e+10,7.59530e+11, Bitcoin
2022-02-20,40.096,40.1,38.077,38.465,3.99500e+10,7.34770e+11, Bitcoin
2022-02-21,38.363,39.402,36.922,37.003,5.72000e+10,7.29870e+11, Bitcoin
